ranking,regionCode,firstName,lastName,teamId,teamName,age,height,weight,positionText,apps,minsPlayed,rating,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,name,date,,,
269,eng,Craig,Noone,188,Cardiff,27,177,69,Midfielder,17,1230,6.738235294,1,1,1.588235294,0.823529412,2.352941176,1.117647059,0.058823529,2.647058824,1.882352941,Daniel Agger,1/1/2014,,,
394,wls,Craig,Bellamy,188,Cardiff,35,175,68,Forward,22,1265,6.507272727,1,1,0.818181818,1.045454545,0.318181818,0.590909091,0.363636364,0.727272727,0.454545455,Daniel Fox,1/1/2014,,,
434,eng,Craig,Gardner,16,Sunderland,28,178,76,Midfielder,18,772,6.402222222,2,2,1.277777778,0.555555556,0.111111111,0.388888889,0.055555556,0.444444444,0.333333333,Daniel Sturridge,1/1/2014,,,
22,eng,Curtis,Davies,214,Hull,29,188,76,Defender,37,3327,7.40027027,2,1,0.702702703,0.108108108,0.297297297,0.72972973,0,0.189189189,0.27027027,Danny Gabbidon,1/1/2014,,,
426,ie,Damien,Duff,170,Fulham,35,178,60,Midfielder,15,702,6.434,0,3,0.466666667,0.733333333,0.333333333,0.6,0.2,1,0.666666667,Danny Graham,1/1/2014,,,
73,ie,Damien,Delaney,162,Crystal Palace,33,191,89,Defender,37,3286,7.148918919,1,1,0.378378378,0.135135135,0,0.351351351,0.027027027,0.081081081,0.27027027,Danny Rose,1/1/2014,,,
368,eng,Dan,Gosling,23,Newcastle United,24,178,71,Midfielder,8,364,6.5525,0,0,0.75,0.625,0.625,0.125,0,0.25,0.25,Danny Welbeck,1/1/2014,,,
395,eng,Dan,Burn,170,Fulham,22,198,87,Defender,9,606,6.506666667,0,0,0.444444444,0.111111111,0,0.111111111,0,0.333333333,0.444444444,Darren Bent,1/1/2014,,,
141,dk,Daniel,Agger,26,Liverpool,29,188,79,Defender,20,1422,6.98,2,1,0.35,0.1,0.1,0.55,0,0.05,0.25,Darren Fletcher,1/1/2014,,,
17,eng,Daniel,Sturridge,26,Liverpool,25,188,76,Forward,29,2287,7.455517241,21,7,3.413793103,1.034482759,1.275862069,1.344827586,0.655172414,1.793103448,1.793103448,Darron Gibson,1/1/2014,,,
326,eng,Daniel,Fox,18,Southampton,28,183,79,Defender,3,259,6.643333333,0,1,0.333333333,0.666666667,0,0.333333333,0,0,1.333333333,David Luiz Moreira Marinho,1/1/2014,,,
487,eng,Daniel,Graham,214,Hull,29,183,87,Forward,18,1012,6.238333333,1,1,0.888888889,0.5,0.166666667,0.5,0.277777778,0.944444444,1.222222222,David de Gea,1/1/2014,,,
96,wls,Danny,Gabbidon,162,Crystal Palace,35,178,77,Defender,23,1975,7.09173913,1,0,0.130434783,0.043478261,0.130434783,0.217391304,0,0.086956522,0.47826087,David Marshall,1/1/2014,,,
113,eng,Danny,Rose,30,Tottenham,24,173,72,Defender,22,1946,7.054090909,1,1,0.681818182,0.727272727,1.045454545,1.954545455,0.045454545,1.181818182,0.636363636,David Meyler,1/1/2014,,,
208,eng,Danny,Welbeck,32,Manchester United,24,185,73,Forward,25,1469,6.8416,9,1,1.84,0.52,0.84,1.24,0.04,1.6,1.56,David Ngog,1/1/2014,,,
359,sct,Darren,Fletcher,32,Manchester United,30,183,83,Midfielder,12,781,6.576666667,0,0,0.416666667,0.583333333,0.25,0.916666667,0,0.5,0.75,David Silva,1/1/2014,,,
470,eng,Darren,Bent,170,Fulham,30,180,73,Forward,24,1243,6.299583333,3,2,0.875,0.5,0.041666667,0.25,0.375,0.583333333,0.666666667,David Stockdale,1/1/2014,,,
504,ie,Darron,Gibson,31,Everton,27,183,90,Midfielder,1,27,6.2,0,0,0,0,0,0,0,0,0,David Vaughan,1/1/2014,,,
140,br,David,Luiz Moreira Marinho,15,Chelsea,27,189,86,Defender,19,1360,6.982105263,0,1,1.631578947,0.157894737,0.631578947,1.210526316,0,0.263157895,0.526315789,Davide Santon,1/1/2014,,,
13,es,David,Silva,167,Manchester City,28,170,67,Midfielder,27,2187,7.558148148,7,9,1.962962963,3.185185185,1.074074074,1.518518519,0.074074074,1.962962963,0.962962963,Dean Moxey,1/1/2014,,,
255,sct,David,Marshall,188,Cardiff,29,191,83,Goalkeeper,37,3330,6.758918919,0,0,0,0.027027027,0.027027027,0.054054054,0,0.027027027,0,Declan John,1/1/2014,,,
272,eng,David,Stockdale,170,Fulham,29,191,84,Goalkeeper,21,1738,6.727619048,0,0,0,0.047619048,0.095238095,0.047619048,0,0,0,Dedryck Boyata,1/1/2014,,,
332,es,David,de Gea,32,Manchester United,24,192,76,Goalkeeper,37,3330,6.635675676,0,0,0,0.027027027,0,0.081081081,0,0,0.027027027,Dejan Lovren,1/1/2014,,,
380,ie,David,Meyler,214,Hull,25,188,79,Midfielder,30,2147,6.536666667,2,1,0.533333333,0.5,0.233333333,1.5,0.1,1.1,1.033333333,Demba Ba,1/1/2014,,,
444,wls,David,Vaughan,16,Sunderland,31,170,66,Midfielder,3,174,6.376666667,0,0,0.333333333,0,0.333333333,0,0,1,0,Derek Boateng,1/1/2014,,,
546,fr,David,Ngog,259,Swansea,25,190,76,Forward,3,42,6.016666667,0,0,1,0,0.333333333,0.333333333,0.333333333,1.333333333,0,Diego Lugano,1/1/2014,,,
133,it,Davide,Santon,23,Newcastle United,23,187,77,Defender,27,2233,6.998888889,0,0,1.074074074,0.851851852,0.962962963,0.592592593,0.037037037,0.962962963,0.555555556,Dimitar Berbatov,1/1/2014,,,
278,eng,Dean,Moxey,162,Crystal Palace,28,180,70,Defender,20,1520,6.7215,0,1,0.45,0.3,0.5,0.6,0.1,0.25,0.25,Don Cowie,1/1/2014,,,
465,wls,Declan,John,188,Cardiff,19,173,64,Defender,20,1489,6.3335,0,0,0.25,0.25,0.75,0.2,0,0.45,0.25,Dwight Gayle,1/1/2014,,,
313,be,Dedryck,Boyata,167,Manchester City,24,188,84,Defender,1,56,6.66,0,0,1,2,0,0,0,0,0,Dwight Tiendalli,1/1/2014,,,
34,hr,Dejan,Lovren,18,Southampton,25,188,84,Defender,31,2789,7.320645161,2,1,0.741935484,0.129032258,0.225806452,0.709677419,0.032258065,0.290322581,0.35483871,Eden Hazard,1/1/2014,,,
392,sn,Demba,Ba,15,Chelsea,29,189,86,Forward,19,666,6.508947368,5,1,1.631578947,0.368421053,0.157894737,0.421052632,0.526315789,0.631578947,1.105263158,Edin Dzeko,1/1/2014,,,
367,gh,Derek,Boateng,170,Fulham,31,185,77,Midfielder,3,159,6.553333333,0,0,0,0.333333333,0.333333333,1,0,0.333333333,0.666666667,Eldin Jakupovic,1/1/2014,,,
386,uy,Diego,Lugano,175,West Bromwich Albion,34,188,84,Defender,9,660,6.518888889,1,0,0.555555556,0.111111111,0,0.222222222,0,0.111111111,0.222222222,Elliot Lee,1/1/2014,,,
283,bg,Dimitar,Berbatov,170,Fulham,33,188,79,Forward,18,1573,6.713888889,4,1,1.944444444,1.388888889,0.777777778,0.833333333,1.166666667,2.055555556,2.055555556,Elliott Bennett,1/1/2014,,,
454,sct,Don,Cowie,188,Cardiff,31,180,73,Midfielder,18,963,6.358888889,0,2,0.388888889,0.777777778,0.222222222,0.277777778,0.055555556,0.666666667,1,Elsad Zverotic,1/1/2014,,,
