ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,goalOwn,name,date,,,
137,3853,2013/2014,2,252,gb,us,Premier League,EPL,Brad,Friedel,3426,TRUE,TRUE,30,Tottenham,-GK-,43,191,92,Goalkeeper,1,0,90,6.99,0,0,0,0,2,1,0,0,Brad Friedel,1/1/2014,,,
223,3853,2013/2014,2,252,gb,us,Premier League,EPL,Brad,Guzan,28746,TRUE,TRUE,24,Aston Villa,-GK-,30,193,94,Goalkeeper,38,0,3420,6.818421053,0.052631579,0,0.026315789,0,0.789473684,0.052631579,0,0,Brad Guzan,1/1/2014,,,
309,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Bradley,Johnson,12490,TRUE,TRUE,168,Norwich,-DMC-,27,178,68,Midfielder,32,4,2474,6.669375,1.75,2.25,1.5,0.03125,1.625,1.375,0.375,1,Bradley Johnson,1/1/2014,,,
558,3853,2013/2014,2,252,gb,au,Premier League,EPL,Bradley,Smith,141414,FALSE,TRUE,26,Liverpool,None,20,178,70,Defender,1,1,31,5.93,0,1,3,0,0,0,0,0,Bradley Smith,1/1/2014,,,
38,3853,2013/2014,2,252,gb,rs,Premier League,EPL,Branislav,Ivanovic,15338,TRUE,TRUE,15,Chelsea,-DC-DR-,30,185,91,Defender,36,0,3181,7.289166667,1.805555556,1.027777778,1.305555556,0.388888889,5,0.444444444,0.222222222,0,Branislav Ivanovic,1/1/2014,,,
211,3853,2013/2014,2,252,gb,no,Premier League,EPL,Brede,Hangeland,3165,FALSE,TRUE,170,Fulham,-DC-,33,195,85,Defender,23,0,1909,6.83826087,1.043478261,1.608695652,0.391304348,0.347826087,7.956521739,0.52173913,0.695652174,0,Brede Hangeland,1/1/2014,,,
526,3853,2013/2014,2,252,gb,us,Premier League,EPL,Brek,Shea,38895,FALSE,TRUE,96,Stoke,None,24,191,82,Midfielder,1,1,31,6.1,1,0,1,0,0,0,0,0,Brek Shea,1/1/2014,,,
28,3853,2013/2014,2,252,gb,cr,Premier League,EPL,Bryan,Oviedo,83455,TRUE,TRUE,31,Everton,-DL-,24,172,69,Defender,9,1,720,7.354444444,3.222222222,0.888888889,1.222222222,0.222222222,1.666666667,0.444444444,0,1,Bryan Oviedo,1/1/2014,,,
247,3853,2013/2014,2,252,gb,cr,Premier League,EPL,Bryan,Ruiz,14051,TRUE,TRUE,170,Fulham,-AMC-AMR-,29,188,78,Forward,12,4,778,6.779166667,1.083333333,0.333333333,0.25,0,0.833333333,1.583333333,0.166666667,0,Bryan Ruiz,1/1/2014,,,
525,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Callum,Robinson,138768,FALSE,TRUE,24,Aston Villa,None,19,178,75,Forward,4,4,46,6.1,0.25,0,0,0,0,0,0,0,Callum Robinson,1/1/2014,,,
199,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Calum,Chambers,124316,FALSE,TRUE,18,Southampton,-DR-,19,183,66,Defender,22,4,1645,6.859090909,2.045454545,1.681818182,0.954545455,0.090909091,3.5,0.681818182,0.227272727,0,Calum Chambers,1/1/2014,,,
337,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Cameron,Jerome,10737,FALSE,TRUE,162,Crystal Palace,-AML-FW-,28,185,85,Forward,28,8,1770,6.624285714,0.642857143,0.321428571,1.392857143,0,0.928571429,0.321428571,0.107142857,0,Cameron Jerome,1/1/2014,,,
513,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Cameron,Jerome,10737,FALSE,TRUE,96,Stoke,-AML-FW-,28,185,85,Forward,1,1,4,6.14,1,0,1,0,0,0,0,0,Cameron Jerome,1/1/2014,,,
312,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Carl,Jenkinson,91879,FALSE,TRUE,13,Arsenal,-DR-,22,185,77,Defender,14,7,800,6.667857143,0.928571429,0.5,0.428571429,0.142857143,2.142857143,0.142857143,0.285714286,0,Carl Jenkinson,1/1/2014,,,
221,3853,2013/2014,2,252,gb,es,Premier League,EPL,Carlos,Cuellar,9432,FALSE,TRUE,16,Sunderland,-DC-DR-,33,190,84,Defender,4,0,343,6.82,2.25,0.75,0.5,0.75,9,0.75,1.75,1,Carlos Cuellar,1/1/2014,,,
428,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Carlton,Cole,3839,TRUE,TRUE,29,West Ham,-FW-,31,191,84,Forward,26,17,853,6.426923077,0.230769231,0.076923077,0.884615385,0,0.769230769,0.115384615,0.076923077,0,Carlton Cole,1/1/2014,,,
352,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Cauley,Woodrow,138641,TRUE,TRUE,170,Fulham,-FW-,19,184,74,Forward,6,1,414,6.593333333,0.666666667,0.166666667,1.333333333,0,1,0.666666667,0,0,Cauley Woodrow,1/1/2014,,,
501,3853,2013/2014,2,252,gb,gr,Premier League,EPL,Charalampos,Mavrias,89592,TRUE,TRUE,16,Sunderland,None,20,177,74,Midfielder,4,3,152,6.215,1,0.5,0,0,0.25,0.5,0,0,Charalampos Mavrias,1/1/2014,,,
229,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Charlie,Adam,8327,TRUE,TRUE,96,Stoke,-MC-,28,185,83,Midfielder,31,11,1775,6.812258065,1.387096774,0.548387097,1.193548387,0,0.548387097,1.193548387,0.225806452,0,Charlie Adam,1/1/2014,,,
127,3853,2013/2014,2,252,gb,ci,Premier League,EPL,Cheick,Tiote,19396,TRUE,TRUE,23,Newcastle United,-DMC-,28,175,76,Midfielder,33,2,2767,7.012424242,3.212121212,1.939393939,2,0.060606061,2.242424242,1.424242424,0.393939394,0,Cheick Tiote,1/1/2014,,,
125,3853,2013/2014,2,252,gb,gb,Premier League,EPL,Chris,Brunt,8507,TRUE,TRUE,175,West Bromwich Albion,-MC-ML-MR-,29,185,84,Midfielder,28,3,2245,7.013928571,1.535714286,1.821428571,0.928571429,0,1.464285714,0.964285714,0.25,0,Chris Brunt,1/1/2014,,,
2,3853,2013/2014,2,252,gb,nl,Premier League,EPL,Chris,David,137502,TRUE,TRUE,170,Fulham,None,21,170,71,Midfielder,1,1,67,8.12,3,1,1,0,0,1,0,0,Chris David,1/1/2014,,,
302,3853,2013/2014,2,252,gb,au,Premier League,EPL,Chris,Herd,33988,FALSE,TRUE,24,Aston Villa,-DC-DMC-,25,173,76,Midfielder,2,0,172,6.675,3,1.5,2,0.5,8.5,0.5,1,0,Chris Herd,1/1/2014,,,
